"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 30 02:47:25 UTC 2023","Sat Sep 30 02:47:28 UTC 2023","2569","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sat Sep 30 03:49:32 UTC 2023","Sat Sep 30 03:49:35 UTC 2023","3309","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Sat Sep 30 02:48:29 UTC 2023","Sat Sep 30 02:48:32 UTC 2023","3140","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sat Sep 30 02:43:21 UTC 2023","Sat Sep 30 02:43:23 UTC 2023","2666","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Sat Sep 30 02:51:46 UTC 2023","Sat Sep 30 02:51:56 UTC 2023","10404","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Sat Sep 30 02:46:59 UTC 2023","Sat Sep 30 02:47:18 UTC 2023","19508","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Sep 30 03:47:16 UTC 2023","Sat Sep 30 03:47:40 UTC 2023","23782","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Sat Sep 30 03:41:30 UTC 2023","Sat Sep 30 03:41:35 UTC 2023","5636","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Sat Sep 30 02:43:17 UTC 2023","Sat Sep 30 02:43:21 UTC 2023","3685","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Sat Sep 30 02:18:53 UTC 2023","Sat Sep 30 02:19:06 UTC 2023","13005","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Sat Sep 30 03:06:44 UTC 2023","Sat Sep 30 03:06:45 UTC 2023","1191","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Sat Sep 30 02:27:54 UTC 2023","Sat Sep 30 02:28:03 UTC 2023","8579","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Sat Sep 30 03:41:35 UTC 2023","Sat Sep 30 03:41:36 UTC 2023","432","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Sat Sep 30 02:22:17 UTC 2023","Sat Sep 30 02:23:14 UTC 2023","57139","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Sat Sep 30 03:51:27 UTC 2023","Sat Sep 30 03:52:21 UTC 2023","53355","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Sat Sep 30 02:50:56 UTC 2023","Sat Sep 30 02:51:06 UTC 2023","10495","","6. Company Account","","","","2. Create a Company Account",""
"passed","Sat Sep 30 02:48:05 UTC 2023","Sat Sep 30 02:48:29 UTC 2023","23398","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Sat Sep 30 03:31:39 UTC 2023","Sat Sep 30 03:35:54 UTC 2023","255462","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Sat Sep 30 02:42:17 UTC 2023","Sat Sep 30 02:43:13 UTC 2023","56503","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Sat Sep 30 03:18:46 UTC 2023","Sat Sep 30 03:19:01 UTC 2023","14870","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Sat Sep 30 02:44:19 UTC 2023","Sat Sep 30 02:44:22 UTC 2023","2819","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Sat Sep 30 03:26:28 UTC 2023","Sat Sep 30 03:26:37 UTC 2023","9505","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Sat Sep 30 03:26:08 UTC 2023","Sat Sep 30 03:26:12 UTC 2023","4361","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Sat Sep 30 04:13:22 UTC 2023","Sat Sep 30 04:13:24 UTC 2023","2580","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
